Site,Model,RMSE_log,R2_log,MAE_log,WAPE_log_percent,sMAPE_log_percent,RMSE_raw_kwh,MAE_raw_kwh
7,XGBoost + Lag Features,0.7413684473938277,-3.4721412986801257,0.6601038508391416,8.042660299593765,8.29273131102045,2327.4373910093886,1982.2790136791386
7,CatBoost + Lag Features,0.7414712018640209,-3.4733810718515965,0.6625381450773884,8.07231957457389,8.32620193727433,2324.619186821733,1985.8930449555444
8,Persistence (lag-1),0.10944426590175765,0.9964810116650078,0.019396376843603666,0.6124702342969987,0.7901114118182102,44.04074754525648,2.38218486905375
8,LightGBM (No Enthalpy),0.9697380440377189,0.7237255838515985,0.7119440150308552,22.533348589324863,30.234369608455573,228.7670106967573,73.72833781739362
8,LightGBM + Lag Features,0.1518826243813634,0.9932228361206641,0.08211851902907029,2.589772215104968,4.3685094708374255,88.84134957954721,22.550003959386952
8,LightGBM + Enthalpy + Lag,0.14958319368025083,0.9934264888355909,0.08082764052817164,2.550472859070353,4.255598402036568,89.23539104654846,22.176520499557533
8,XGBoost + Lag Features,0.15120272765213358,0.993283375742199,0.0823336853095306,2.5628709408937804,4.219762183490589,95.11868663345108,19.86600729347471
8,CatBoost + Lag Features,0.1601096660009392,0.9924687527585291,0.08916301322762224,2.7924560429469927,4.809042389695492,92.92365285626538,23.017851503689336
9,Persistence (lag-1),0.27954660244051205,0.9621015507139863,0.06907346761522103,1.6139360939568346,2.165310416516587,45.27670873992834,6.371728365459158
9,LightGBM (No Enthalpy),1.350878383442261,0.11499544103678394,0.9714580148863708,20.000096512405825,26.926808881193537,142.36398891793246,100.15756073930933
9,LightGBM + Lag Features,0.2890796758695912,0.9594726579692695,0.07976401680270286,1.4861684524621368,9.493173131082314,36.118038943565146,6.019577081412782
9,LightGBM + Enthalpy + Lag,0.2881304321668837,0.9597383782214721,0.08090694021148614,1.4818278405191505,9.486664465516018,35.834794839050176,5.997801101474
9,XGBoost + Lag Features,0.31321943482457726,0.9524215371776601,0.08705962792650179,1.5031495240931039,9.494676896839641,36.94863429486772,6.29291360255493
9,CatBoost + Lag Features,0.2937242918059762,0.9581598980419597,0.0838406083998607,1.5327260378673686,9.542716375151462,35.66863075758263,6.193668314077253
12,Persistence (lag-1),0.20382313822278772,0.8788377102472179,0.06688431322655333,1.508549853987096,1.7184811554594202,9.57675941105348,5.069768707604523
12,LightGBM (No Enthalpy),0.8450827844892977,-1.082854885397735,0.6443864187821797,14.015984632809065,16.37486761908914,50.91913037533915,43.73632597748558
12,LightGBM + Lag Features,0.25762359252443123,0.8064327998476613,0.08666173575411662,1.6386511627091662,3.8562283407750466,9.660027841993772,5.463225399586253
12,LightGBM + Enthalpy + Lag,0.2655959445193911,0.794267272995876,0.08566142479411704,1.5907686238854784,3.8089236426161936,9.564117369179547,5.315405249885381
12,XGBoost + Lag Features,0.2391976471417916,0.8331315196595039,0.08205104666414498,1.5787179556346034,3.7940762247742725,9.673450899448646,5.286533107554341
12,CatBoost + Lag Features,0.222212723052809,0.855988111095944,0.07977705924977452,1.606028274080216,3.8341218996686472,9.423064672396256,5.365900008335697
13,Persistence (lag-1),0.16074161077378712,0.9791120225117653,0.06601694337615054,1.4094388456587823,1.5604954339587596,32.27572575482298,10.618996866824158
13,LightGBM (No Enthalpy),0.8689886799878168,0.3895248407026991,0.6880874775661797,14.763255141582206,15.752565083607736,230.85301849908478,118.6413698596918
13,LightGBM + Lag Features,0.13007417487643086,0.9863220214613154,0.06109462909758376,1.30125635245104,1.4419055547476658,34.44397708765759,11.678535636652851
13,LightGBM + Enthalpy + Lag,0.13142955368978823,0.9860354860267708,0.06223551669629899,1.3261284919465477,1.4685123909582642,34.74140824443147,11.839140954619609
13,XGBoost + Lag Features,0.13125160036168915,0.9860732758437829,0.06212765503639284,1.3234561803293359,1.4661642601322118,36.16558808983561,11.951275897829158
13,CatBoost + Lag Features,0.13366132611404807,0.9855572035689515,0.06695707029902254,1.4279899423058198,1.5561068329776073,41.414364102481684,13.85911356879204
14,Persistence (lag-1),0.4159888207764864,0.9090007356215098,0.09525475590951742,1.5592945471268926,2.3535105654552324,41.58242009765033,17.265362885330422
14,LightGBM (No Enthalpy),1.2984108105536822,0.11345903554542691,0.834778545216867,11.881715266097551,21.460342248979586,185.71410299397408,146.1608265313334
14,LightGBM + Lag Features,0.41660934294795643,0.9087290495871616,0.12049823082348543,1.662633756277072,10.623492447773076,43.68268968774634,19.879731101609657
14,LightGBM + Enthalpy + Lag,0.43062353736002074,0.9024852996343988,0.12594906927802718,1.714464877272852,10.679004233529609,44.786464373717,20.580072651308964
14,XGBoost + Lag Features,0.5586177933999148,0.8359016960904362,0.2322090903789002,3.692772328194443,12.574853802023291,100.55900956135302,46.93566986433675
14,CatBoost + Lag Features,0.43049355194164757,0.9025441611454486,0.13130668713139992,1.768889366052206,10.720359468101401,44.91927651282035,21.690362657300508
15,Persistence (lag-1),0.18879593174419543,0.9858144818591615,0.08180703312646737,1.9790240811612096,2.1677047040168116,16.118315846750107,7.846122779745542
15,LightGBM (No Enthalpy),1.227408134499914,0.4004327058326367,0.8691433079013027,16.361843845900257,28.402128735485622,173.19293733861474,88.47714374842776
15,LightGBM + Lag Features,0.20764615275381673,0.9828403779519009,0.13373173904135557,3.077305779398112,14.750381229410545,24.531954233486363,14.164689266557092
15,LightGBM + Enthalpy + Lag,0.22863100208787568,0.9791967983022565,0.14835926876672578,3.354901451162409,14.93585265457116,26.77035712437383,15.852142390403474
15,XGBoost + Lag Features,0.29342489108618874,0.9657347547811591,0.20578994009025334,4.548489287596013,16.374847616755066,35.814538599796165,21.596629135038633
15,CatBoost + Lag Features,0.18466372063504857,0.9864286483672106,0.10343303757452961,2.3101495369145453,13.956888797765341,17.975245339506127,10.33494047347179
